user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel,engagement_band
U000141,2026-01-06,3,value,web,referral,Low
U000142,2025-06-27,3,regular,mobile,paid_social,High
U000143,2025-07-13,1,regular,web,paid_social,High
U000144,2025-08-15,1,regular,web,organic,High
U000145,2026-01-09,3,premium,mobile,search,Low
U000146,2025-12-05,1,regular,mobile,organic,Low
U000147,2025-05-13,2,value,mobile,organic,Med
U000148,2025-07-02,3,regular,web,organic,High
U000149,2025-11-27,2,value,mobile,organic,Low
U000150,2025-05-19,2,value,mobile,organic,Med
U000151,2025-12-05,2,value,web,organic,Low
U000152,2025-07-14,1,regular,web,email,High
U000153,2025-12-21,3,regular,web,referral,Low
U000154,2025-07-17,2,regular,web,search,Med
U000155,2025-08-22,1,value,web,email,Med
U000156,2025-10-18,2,regular,mobile,organic,Med
U000157,2025-06-05,3,regular,mobile,search,High
U000158,2025-09-21,1,premium,web,referral,High
U000159,2025-09-08,3,regular,mobile,search,Low
U000160,2025-11-17,2,regular,web,organic,Low
U000161,2026-01-10,3,regular,web,search,Low
U000162,2025-10-18,3,regular,mobile,search,Low
U000163,2025-08-15,3,premium,web,paid_social,High
U000164,2025-08-15,3,regular,mobile,search,High
U000165,2025-08-17,1,regular,web,search,High
U000166,2025-11-25,3,value,web,organic,Low
U000167,2025-07-24,2,regular,web,search,High
U000168,2025-06-15,2,regular,web,organic,Low
U000169,2025-07-27,3,regular,mobile,referral,High
U000170,2025-05-10,3,regular,mobile,paid_social,High
U000171,2025-05-31,2,value,web,search,Med
U000172,2025-05-27,2,premium,web,paid_social,High
U000173,2025-11-14,2,value,mobile,organic,Low
U000174,2025-11-02,2,premium,mobile,search,Med
U000175,2025-10-26,2,value,web,search,Low
U000176,2025-08-28,2,regular,web,search,High
U000177,2025-10-31,1,regular,web,paid_social,Med
U000178,2025-06-14,1,regular,web,email,High
U000179,2025-12-17,3,value,web,search,Low
U000180,2025-09-07,2,premium,web,search,High
U000181,2025-12-26,3,regular,web,paid_social,Low
U000182,2025-06-12,2,regular,web,organic,High
U000183,2025-09-06,1,regular,web,organic,High
U000184,2025-10-26,1,value,mobile,email,Low
U000185,2025-09-06,1,regular,mobile,referral,High
U000186,2025-08-24,3,value,web,email,Med
U000187,2025-06-15,1,value,web,organic,Med
U000188,2025-08-08,2,regular,web,organic,Med
U000189,2025-07-03,3,regular,mobile,search,High
U000190,2025-07-19,3,value,mobile,email,Med
U000191,2025-10-23,1,value,web,organic,Low
U000192,2025-10-10,1,value,mobile,organic,Med
U000193,2025-10-04,1,value,mobile,organic,Med
U000194,2025-08-03,1,regular,mobile,paid_social,High
U000195,2025-12-31,1,value,web,referral,Low
U000196,2025-05-27,2,premium,web,paid_social,High
U000197,2025-07-29,3,value,mobile,organic,Med
U000198,2025-06-03,2,value,web,paid_social,Med
U000199,2025-07-29,2,premium,mobile,search,High
U000200,2026-01-01,1,value,mobile,organic,Low
U000201,2025-08-04,3,regular,web,organic,High
U000202,2025-12-19,2,premium,web,search,Med
U000203,2025-09-06,3,premium,web,organic,High
U000204,2025-10-27,3,regular,web,email,Med
U000205,2025-08-27,2,value,mobile,search,Med
U000206,2025-07-10,1,regular,mobile,search,High
U000207,2025-11-12,1,premium,web,paid_social,High
U000208,2026-01-03,2,premium,mobile,paid_social,Med
U000209,2025-07-10,3,value,web,organic,Med
U000210,2025-11-16,2,regular,mobile,paid_social,Med
U000211,2025-07-09,3,value,web,organic,Med
U000212,2025-10-31,2,value,mobile,search,Low
U000213,2025-11-19,1,regular,mobile,paid_social,Med
U000214,2025-08-25,2,value,web,search,Med
U000215,2025-11-05,2,value,mobile,search,Low
U000216,2025-07-12,2,value,mobile,organic,Med
U000217,2025-05-24,2,regular,web,search,High
U000218,2025-05-29,1,value,mobile,organic,High
U000219,2025-08-25,2,regular,mobile,email,High
U000220,2025-12-17,1,value,mobile,search,Low
U000221,2025-06-06,3,premium,web,referral,Med
U000222,2025-08-27,1,value,,search,Med
U000223,2025-10-28,1,regular,mobile,referral,Med
U000224,2025-06-24,2,value,mobile,organic,Med
U000225,2025-11-02,2,value,web,organic,Low
U000226,2025-07-20,2,value,web,organic,Med
U000227,2025-11-23,2,value,mobile,organic,Low
U000228,2025-09-27,3,value,web,email,Low
U000229,2025-09-19,2,regular,web,paid_social,High
U000230,2025-06-18,2,regular,web,paid_social,High
U000231,2025-08-29,2,value,mobile,search,Low
U000232,2025-12-06,1,regular,web,search,Med
U000233,2025-05-09,2,regular,mobile,paid_social,Low
U000234,2025-11-11,1,value,mobile,referral,Low
U000235,2025-09-05,2,value,mobile,paid_social,Med
U000236,2025-11-01,1,value,mobile,paid_social,Low
U000237,2025-10-18,3,value,web,organic,Med
U000238,2025-08-21,2,regular,mobile,email,High
U000239,2025-07-21,3,premium,web,organic,High
U000240,2025-10-09,2,premium,mobile,search,High
U000241,2025-06-09,1,premium,web,referral,High
U000242,2025-09-28,3,regular,mobile,organic,Med
U000243,2025-05-28,2,value,mobile,organic,Low
U000244,2025-10-15,3,value,web,search,Low
U000245,2025-10-09,2,value,mobile,search,Low
U000246,2025-05-26,2,value,web,email,Low
U000247,2025-11-11,3,value,web,referral,Low
U000248,2025-08-17,2,regular,web,search,High
U000249,2025-11-18,2,value,web,email,Low
U000250,2025-05-15,2,value,mobile,paid_social,Low
U000251,2025-06-19,2,regular,mobile,referral,High
U000252,2025-09-05,3,value,web,organic,Med
U000253,2025-06-21,2,premium,mobile,search,High
U000254,2025-07-26,2,value,mobile,organic,Med
U000255,2025-10-17,3,regular,mobile,organic,Med
U000256,2025-06-10,2,value,web,paid_social,Low
U000257,2025-10-22,2,regular,mobile,organic,Med
U000258,2025-05-30,2,value,web,search,Med
U000259,2025-06-17,1,value,mobile,paid_social,Med
U000260,2025-09-29,2,regular,mobile,organic,High
U000261,2025-11-20,1,value,mobile,search,Low
U000262,2025-06-16,1,value,web,paid_social,Med
U000263,2025-07-19,2,premium,web,referral,High
U000264,2025-12-23,2,value,mobile,organic,Low
U000265,2026-01-08,3,regular,web,email,Low
U000266,2025-09-27,2,regular,web,referral,Med
U000267,2025-08-25,1,value,mobile,paid_social,Med
U000268,2025-07-31,3,regular,mobile,search,High
U000269,2025-10-05,1,value,web,paid_social,Low
U000270,2025-09-30,1,regular,web,referral,Med
U000271,2025-07-17,2,value,mobile,organic,Med
U000272,2025-05-10,2,value,web,email,Low
U000273,2025-06-12,3,value,web,email,Med
U000274,2025-12-31,3,premium,web,search,Med
U000275,2025-08-17,2,regular,web,paid_social,High
U000276,2025-09-03,1,premium,mobile,search,High
U000277,2025-08-30,2,regular,web,paid_social,Med
U000278,2025-11-17,2,regular,web,referral,Med
U000279,2025-05-21,1,regular,web,organic,Med
U000280,2025-05-25,2,premium,web,organic,High
U000281,2025-07-13,2,regular,web,organic,High
U000282,2025-09-04,1,value,mobile,email,Med
U000283,2025-10-20,2,regular,mobile,search,Med
U000284,2025-09-05,2,regular,web,referral,High
U000285,2025-08-23,1,value,web,search,Med
U000286,2025-12-26,2,regular,web,organic,Low
U000287,2025-06-14,3,value,web,email,Med
U000288,2025-09-25,2,regular,mobile,search,High
U000289,2025-09-18,3,value,web,search,Low
U000290,2025-08-31,2,regular,mobile,organic,High
U000291,2025-11-23,3,regular,mobile,organic,Low
U000292,2025-07-11,1,regular,web,organic,High
U000293,2025-12-30,2,value,mobile,search,Low
U000294,2025-07-27,1,premium,web,paid_social,High
U000295,2025-09-18,2,regular,web,organic,Med
U000296,2025-09-12,2,value,mobile,organic,Med
U000297,2025-12-04,1,value,web,organic,Low
U000298,2025-08-23,3,value,mobile,search,Low
U000299,2025-07-15,2,value,mobile,email,Med
U000300,2025-05-10,2,regular,web,search,High
U000301,2025-08-04,1,premium,mobile,organic,High
U000302,2025-11-28,2,regular,web,paid_social,Low
U000303,2025-05-07,2,regular,mobile,email,High
U000304,2025-12-15,2,regular,web,referral,Low
U000305,2025-09-18,1,regular,web,referral,High
U000306,2025-06-09,3,regular,web,email,High
U000307,2025-07-19,3,value,mobile,paid_social,Med
U000308,2025-09-21,2,premium,web,email,High
U000309,2025-07-23,2,regular,mobile,organic,High
U000310,2025-06-01,3,regular,web,referral,High
U000311,2025-10-19,3,premium,web,referral,High
U000312,2025-10-20,2,regular,web,email,Low
U000313,2025-06-03,3,value,web,search,Med
U000314,2025-07-14,3,regular,mobile,referral,High
U000315,2025-07-05,3,value,web,organic,Med
U000316,2025-10-17,2,regular,mobile,paid_social,Med
U000317,2025-11-04,1,value,mobile,search,Low
U000318,2025-11-03,1,regular,web,paid_social,Med
U000319,2025-12-26,2,premium,mobile,paid_social,Low
U000320,2025-11-13,2,value,mobile,search,Low
U000321,2025-07-24,2,regular,mobile,organic,Med
U000322,2025-06-01,2,regular,web,organic,High
U000323,2025-10-06,2,regular,mobile,paid_social,Med
U000324,2025-12-20,3,value,mobile,paid_social,Low
U000325,2026-01-04,1,value,web,paid_social,Low
U000326,2025-07-01,1,regular,mobile,organic,High
U000327,2025-07-03,3,regular,web,referral,High
U000328,2025-05-14,3,regular,mobile,paid_social,High
U000329,2025-06-09,3,value,mobile,organic,Med
U000330,2025-09-21,3,regular,mobile,organic,High
U000331,2025-09-19,3,value,mobile,search,Med
U000332,2025-08-06,2,value,mobile,search,Low
U000333,2025-07-21,2,regular,mobile,organic,High
U000334,2025-11-29,2,value,web,organic,Low
U000335,2025-08-28,2,regular,web,organic,Med
U000336,2025-11-23,3,premium,web,organic,Med
U000337,2026-01-01,2,regular,web,organic,Low
U000338,2025-07-23,2,regular,mobile,referral,High
U000339,2025-06-24,2,value,mobile,search,Med
U000340,2025-12-30,1,value,web,search,Low
U000341,2025-10-11,1,value,web,paid_social,Med
U000342,2025-07-17,1,regular,mobile,search,High
U000343,2025-10-08,3,regular,web,organic,High
U000344,2025-09-11,2,value,mobile,organic,Med
U000345,2025-12-18,3,value,mobile,organic,Low
U000346,2025-07-08,2,value,web,paid_social,Med
U000347,2026-01-08,1,regular,web,search,Low
U000348,2025-12-25,1,regular,web,search,Low
U000349,2025-06-19,3,regular,web,search,High
U000350,2025-06-15,2,premium,web,email,High
U000351,2025-09-15,3,value,web,organic,Med
U000352,2025-05-16,1,regular,web,search,Med
U000353,2025-07-18,2,regular,web,search,High
U000354,2025-08-22,3,value,web,paid_social,Med
U000355,2026-01-03,1,premium,mobile,paid_social,Med
U000356,2026-01-09,2,value,web,paid_social,Low
U000357,2025-06-12,3,regular,mobile,organic,Med
U000358,2025-12-14,2,regular,web,search,Low
U000359,2025-05-27,2,premium,web,referral,High
U000360,2025-11-08,2,regular,web,search,Med
U000361,2025-12-03,2,value,mobile,email,Low
U000362,2025-12-14,3,regular,web,search,Low
U000363,2025-06-30,3,regular,web,search,High
U000364,2025-12-15,2,regular,web,search,Low
U000365,2025-06-03,3,regular,mobile,search,High
U000366,2025-09-12,1,value,web,referral,Low
U000367,2025-08-30,1,regular,web,organic,High
U000368,2025-07-23,2,premium,mobile,search,High
U000369,2025-05-10,3,value,web,paid_social,Med
U000370,2025-11-14,1,regular,web,referral,Med
U000371,2025-07-28,1,premium,mobile,paid_social,High
U000372,2025-10-18,2,regular,web,email,Med
U000373,2025-08-15,3,premium,web,referral,High
U000374,2025-08-06,1,regular,web,search,High
U000375,2025-12-13,2,premium,web,referral,Med
U000376,2025-05-28,2,value,mobile,email,Med
U000377,2025-11-05,2,regular,mobile,organic,Med
U000378,2025-11-08,1,regular,mobile,paid_social,Med
U000379,2025-08-08,1,regular,web,organic,High
U000380,2025-07-09,2,premium,mobile,paid_social,High
U000381,2025-05-06,2,regular,mobile,organic,High
U000382,2025-12-26,3,regular,web,paid_social,Low
U000383,2025-12-28,2,regular,mobile,search,Low
U000384,2025-07-04,2,regular,mobile,paid_social,Med
U000385,2025-05-13,3,regular,mobile,organic,High
U000386,2025-06-04,2,value,web,paid_social,Low
U000387,2025-05-21,2,regular,web,search,High
U000388,2025-11-29,3,premium,mobile,paid_social,High
U000389,2025-12-14,1,regular,mobile,organic,Low
U000390,2025-06-12,2,regular,web,organic,High
U000391,2025-11-08,3,regular,web,search,Med
U000392,2025-06-18,1,regular,mobile,email,High
U000393,2025-08-05,2,value,web,organic,Low
U000394,2025-10-02,1,regular,web,paid_social,Low
U000395,2025-11-01,1,regular,mobile,organic,Low
U000396,2025-12-10,2,value,web,paid_social,Low
U000397,2025-05-16,2,value,web,organic,Med
U000398,2025-06-23,3,regular,web,search,High
U000399,2025-07-14,3,regular,mobile,search,High
U000400,2025-07-21,3,regular,web,organic,High
U000401,2026-01-10,2,value,mobile,search,Low
U000402,2025-11-16,2,regular,mobile,search,Med
U000403,2025-07-24,2,regular,mobile,search,High
U000404,2026-01-03,1,regular,web,email,Low
U000405,2025-09-07,3,regular,web,search,High
U000406,2025-09-07,2,value,web,email,Low
U000407,2025-08-21,1,premium,mobile,search,High
U000408,2025-06-10,3,value,mobile,organic,Med
U000409,2025-12-25,2,regular,mobile,organic,Low
U000410,2025-05-08,1,value,web,search,Med
U000411,2025-06-17,1,regular,web,organic,High
U000412,2025-07-01,2,value,mobile,referral,Med
U000413,2025-07-14,3,premium,web,paid_social,High
U000414,2025-06-07,1,regular,mobile,search,High
U000415,2025-05-09,3,regular,web,search,High
U000416,2025-10-22,3,value,mobile,search,Low
U000417,2026-01-03,3,value,mobile,paid_social,Low
U000418,2025-06-04,1,regular,web,organic,High
U000419,2025-07-18,1,regular,web,organic,High
U000420,2025-09-09,3,regular,mobile,organic,Med
U000421,2025-12-23,2,premium,web,organic,Med
U000422,2025-10-26,2,regular,web,paid_social,High
U000423,2025-11-13,3,premium,web,organic,High
U000424,2025-09-27,1,value,web,organic,Low
U000425,2025-08-17,3,regular,mobile,email,High
U000426,2025-06-24,3,regular,web,email,High
U000427,2025-12-07,2,regular,web,search,Low
U000428,2025-11-22,2,premium,mobile,search,Med
U000429,2025-05-11,3,regular,web,paid_social,High
U000430,2025-10-31,2,premium,web,organic,High
U000431,2025-05-26,2,regular,mobile,search,High
U000432,2025-11-06,3,value,mobile,organic,Low
U000433,2025-11-28,2,regular,mobile,search,Low
U000434,2025-06-06,2,regular,mobile,email,High
U000435,2025-08-21,1,premium,web,paid_social,High
U000436,2025-06-05,1,regular,web,email,High
U000437,2025-09-24,2,value,mobile,paid_social,Low
U000438,2025-12-23,2,value,mobile,paid_social,Low
U000439,2025-05-25,2,value,mobile,paid_social,High
U000440,2025-08-12,2,regular,web,paid_social,High
U000441,2026-01-04,3,value,web,search,Low
U000442,2025-07-19,3,regular,web,organic,High
U000443,2025-06-07,1,regular,mobile,search,High
U000444,2025-09-04,2,regular,mobile,organic,Med
U000445,2025-09-09,2,value,web,search,Med
U000446,2025-10-18,2,regular,web,organic,Med
U000447,2025-07-22,1,value,web,search,Med
U000448,2025-12-30,3,premium,web,organic,Med
U000449,2025-09-12,3,value,mobile,organic,Med
U000450,2025-07-15,2,value,mobile,search,Low
U000451,2026-01-01,3,value,web,organic,Low
U000452,2025-12-23,3,regular,mobile,email,Low
U000453,2025-09-07,2,value,mobile,search,Med
U000454,2025-05-11,2,regular,web,search,High
U000455,2025-10-01,2,regular,web,organic,Med
U000456,2025-09-21,3,regular,web,referral,Med
U000457,2025-06-11,1,value,web,paid_social,Low
U000458,2025-10-11,2,value,web,search,Med
U000459,2025-12-02,3,regular,mobile,organic,Med
U000460,2025-05-31,2,value,web,paid_social,Med
U000461,2025-11-02,3,regular,web,email,Med
U000462,2025-06-09,2,value,mobile,search,Med
U000463,2025-11-08,3,regular,web,organic,Med
U000464,2025-08-18,3,value,mobile,organic,Med
U000465,2025-05-06,2,regular,mobile,organic,High
U000466,2026-01-02,3,value,mobile,paid_social,Low
U000467,2025-06-15,2,regular,mobile,email,High
U000468,2025-10-01,2,value,mobile,email,Low
U000469,2025-06-19,2,premium,mobile,referral,High
U000470,2025-12-25,3,regular,web,organic,Low
U000471,2025-11-06,1,value,web,email,Low
U000472,2025-11-22,1,value,web,organic,Low
U000473,2025-08-21,2,value,web,organic,Low
U000474,2025-08-30,2,value,web,paid_social,Med
U000475,2025-10-11,2,value,web,organic,Low
U000476,2025-11-17,1,premium,web,referral,High
U000477,2025-12-03,2,regular,web,email,Low
U000478,2025-05-09,3,value,web,paid_social,Med
U000479,2025-10-18,1,regular,mobile,referral,Med
U000480,2025-06-01,2,value,mobile,search,Med
U000481,2025-07-16,3,premium,mobile,organic,Med
U000482,2025-11-29,1,value,web,referral,Low
U000483,2025-07-06,2,regular,mobile,paid_social,High
U000484,2025-11-21,2,regular,mobile,email,Low
U000485,2025-08-29,3,value,web,organic,Med
U000486,2025-07-02,2,value,mobile,organic,Med
U000487,2025-07-27,3,regular,web,search,High
U000488,2025-09-15,1,premium,mobile,paid_social,High
U000489,2025-11-13,2,regular,mobile,referral,Low
U000490,2025-10-04,3,regular,web,email,High
U000491,2025-12-25,1,regular,mobile,organic,Low
U000492,2025-12-08,1,regular,web,search,Med
U000493,2025-11-10,1,regular,web,organic,Med
U000494,2025-10-03,3,regular,web,organic,Med
U000495,2025-07-16,2,regular,web,search,High
U000496,2025-08-16,2,value,web,paid_social,Low
U000497,2025-06-03,2,premium,,search,High
U000498,2025-08-06,2,value,web,search,Med
U000499,2025-12-23,2,value,web,paid_social,Low
U000500,2025-08-19,2,regular,mobile,referral,Low
U000501,2025-06-02,2,value,web,organic,Low
U000502,2025-10-15,1,value,web,search,Low
U000503,2026-01-01,3,value,mobile,paid_social,Low
U000504,2025-12-08,3,regular,mobile,paid_social,Low
U000505,2025-07-12,2,regular,web,referral,High
U000506,2025-08-26,2,value,web,organic,Med
U000507,2025-09-15,1,value,mobile,search,Med
U000508,2025-07-06,3,regular,mobile,email,High
U000509,2025-07-11,3,premium,web,search,High
U000510,2025-07-03,3,value,web,search,Low
U000511,2026-01-09,2,premium,web,email,Low
U000512,2025-11-08,1,premium,mobile,organic,Med
U000513,2025-12-02,1,value,mobile,paid_social,Low
U000514,2025-11-25,1,regular,mobile,referral,Med
U000515,2025-12-31,1,regular,web,organic,Low
U000516,2025-05-31,1,regular,mobile,paid_social,High
U000517,2025-12-12,3,regular,mobile,search,Low
U000518,2025-05-21,1,regular,web,referral,High
U000519,2025-09-01,1,regular,mobile,email,High
U000520,2025-10-01,3,regular,web,referral,Med
U000521,2025-08-02,2,premium,web,organic,High
U000522,2025-06-10,3,regular,mobile,paid_social,High
U000523,2025-06-22,2,regular,web,email,High
U000524,2025-11-27,3,premium,mobile,paid_social,Low
U000525,2025-07-23,2,value,web,paid_social,Low
U000526,2025-07-21,2,value,web,organic,Med
U000527,2025-12-22,2,regular,web,referral,Low
U000528,2025-06-10,2,premium,web,organic,High
U000529,2025-12-20,2,value,web,organic,Low
U000530,2025-12-22,2,regular,mobile,email,Low
U000531,2025-10-02,1,value,web,email,Med
U000532,2025-06-15,3,value,web,email,Med
U000533,2025-06-13,2,regular,mobile,search,Med
U000534,2025-07-15,1,value,web,organic,Med
U000535,2025-09-26,1,premium,mobile,search,High
U000536,2025-06-12,3,value,web,organic,Med
U000537,2025-08-27,2,premium,web,referral,High
U000538,2025-06-02,2,value,mobile,search,Med
U000539,2025-09-17,3,premium,mobile,search,High
U000540,2025-05-10,1,regular,mobile,organic,High
U000541,2025-10-29,3,value,web,search,Low
U000542,2025-05-18,2,value,web,referral,Med
U000543,2025-06-22,1,value,mobile,paid_social,Med
U000544,2025-06-17,2,regular,mobile,organic,High
U000545,2025-11-29,3,regular,mobile,organic,Med
U000546,2025-05-18,2,regular,mobile,search,High
U000547,2025-08-20,2,regular,mobile,organic,High
U000548,2025-09-30,2,regular,web,email,Med
U000549,2025-09-11,2,regular,mobile,paid_social,Low
U000550,2025-10-22,2,regular,web,organic,Med
U000551,2025-11-22,2,regular,web,referral,Med
U000552,2025-08-11,2,regular,mobile,search,High
U000553,2025-11-28,1,premium,web,organic,Med
U000554,2025-07-23,2,value,web,search,Low
U000555,2026-01-07,2,value,mobile,organic,Low
U000556,2025-09-08,2,value,mobile,search,Med
U000557,2025-11-05,1,regular,web,referral,Med
U000558,2025-12-10,2,value,mobile,email,Low
U000559,2025-11-19,2,premium,web,search,Med
U000560,2025-12-04,1,regular,mobile,paid_social,Low
U000561,2025-09-16,1,regular,web,organic,High
U000562,2025-05-15,2,regular,web,search,High
U000563,2025-09-05,2,value,web,organic,Med
U000564,2025-06-19,1,regular,web,search,High
U000565,2025-12-14,3,value,web,organic,Low
U000566,2025-07-03,2,regular,web,email,High
U000567,2025-07-01,3,premium,mobile,referral,Low
U000568,2025-07-06,2,regular,web,organic,High
U000569,2025-10-13,2,premium,web,paid_social,High
U000570,2025-09-25,2,regular,mobile,organic,High
U000571,2025-12-29,3,regular,,paid_social,Low
U000572,2025-08-17,2,regular,mobile,organic,High
U000573,2025-07-14,2,regular,web,organic,Low
U000574,2025-05-17,2,value,web,paid_social,Med
